"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"

"File.Edit","
from random import randint

# Remember how to use this kind of variable?
count = 0

def main():
    print('Welcome to Recursion Fun')

    # aggienacci calculation
    value = eval(input('Enter a number to find its aggienacci value: '))
    def aggienacci(n, i, num1, num2):
        num3 = num1 + num2
        if i == n - 2:  # Base case is very similar to loop conditions on lines 60 and 46
            return num3
        elif i == 1 and n == 1 or n == 2:  # Base case is similar to base cases on lines 65 and 51
            return 1
        return aggienacci(n, i + 1, num2, num3)
    
    def aggienacci(value):
        num1
        num4 = num3 + num2 / num1
        
    print('The aggienacci value of ' + str(value) + ' is ' + str(round(aggienacci(value), 4)))

    print()

    # Recursive search and sort
    key = eval(input('Enter a number to search for: '))
    numList = []
    for i in range(200000):
        if randint(0, 2) == 0:
            numList.append(i)

    numPos = binarySearch(numList, key)

    if numPos == -1:
        print('Your number, ' + str(key) + ', is not in the list')
    else:
        print('Your number, ' + str(key) + ', is in the list at position ' + str(numPos))

    print('Total recursive calls: ' + str(count))




main()

#from study session

# This one counts up from the first numbers in the sequence until it hits the number you want
def fibCountUpWithRecursion(n, i, num1, num2):
    num3 = num1 + num2
    if i == n-2:  # Base case is very similar to loop conditions on lines 60 and 46
        return num3
    elif i == 1 and n == 1 or n == 2:  # Base case is similar to base cases on lines 65 and 51
        return 1
    return fibCountUpWithRecursion(n, i + 1, num2, num3)  # Recursive call
","","51","1676048939078","test3.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","15000","1676048939078","test3.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,


"File.Edit","a3","","0","1676048939078","test2.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","=","","1","1676048939078","test2.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","4","","3","1676048939078","test2.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,

"File.Edit","while True:
    while True:
        for i in range(3):
            print('hello', end='')
        print('world')","","0","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","n","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","n","","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","n","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","n","","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","n","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","n","","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","n","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","n","","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","n","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","n","","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","n","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","n","","101","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","98","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","#","","98","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,

"File.Edit","
","","120","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","x","","120","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","#","98","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,


"File.Edit","abc=123","","0","1676048939078","test1.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","abc","0","1676048939078","test1.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","45","","4","1676048939078","test1.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","d","","0","1676048939078","test1.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,

"File.Edit","def fo(
    x,
    y
):
    return x+y","","0","1676048939078","test16.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","o","","6","1676048939078","test16.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","e","1","1676048939078","test16.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","e","","1","1676048939078","test16.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
